iso_code,population
AFG,38928346
ALB,2877797
DZA,43851044
AND,77265
ARG,45195774
ARM,2963243
AUT,9006398
AZE,10139177
BHS,393244
BRB,287375
BEL,11589623
BLZ,397628
BOL,11673021
BIH,3280819
BWA,2351627
BRA,212559417
BGR,6948445
BFA,20903273
KHM,16718965
CMR,26545863
CHL,19116201
CHN,1439323776
COL,50882891
COG,5518087
CRI,5094118
CIV,26378274
HRV,4105267
CUB,11326616
CYP,1207359
CZE,10708981
COD,89561403
DNK,5792202
DJI,988000
DOM,10847910
ECU,17643054
EGY,102334404
EST,1326535
ETH,114963588
FJI,896445
FIN,5540720
GEO,3989167
GHA,31072940
GRC,10423054
GTM,17915568
GIN,13132795
GUY,786552
HND,9904607
HUN,9660351
ISL,341243
IDN,273523615
IRN,83992949
IRQ,40222493
IRL,4937786
ISR,8655535
ITA,60461826
JOR,10203134
KAZ,18776707
KEN,53771296
OWID_KOS,1810000
KGZ,6524195
LVA,1886198
LBN,6825445
LSO,2142249
LBR,5057681
LBY,6871292
LTU,2722289
LUX,625978
MWI,19129952
MLI,20250833
MLT,441543
MUS,1271768
MEX,128932753
MDA,4033963
MCO,39242
MNE,628066
MAR,36910560
MOZ,31255435
MMR,54409800
NLD,17134872
NZL,4822233
NER,24206644
MKD,2083374
NOR,5421241
PAK,220892340
PSE,5101414
PAN,4314767
PRY,7132538
PER,32971854
POL,37846611
PRT,10196709
QAT,2881053
ROU,19237691
RUS,145934462
STP,219159
SAU,34813871
SEN,16743927
SRB,8737371
SLE,7976983
SVK,5459642
SVN,2078938
SOM,15893222
ZAF,59308690
KOR,51269185
ESP,46754778
SWE,10099265
CHE,8654622
SYR,17500658
TWN,23816775
TJK,9537645
TZA,59734218
TTO,1399488
TUN,11818619
TUR,84339067
UKR,43733762
URY,3473730
UZB,33469203
YEM,29825964
ZWE,14862924
